0.581205   122.524  3.05706
0.566433   122.491  2.2467
0.543181   121.584  2.22609
0.534519   120.954  1.21278
0.526384   120.873  1.01418
0.517132   120.991  0.772371
0.514036   120.778  0.508573
0.51021   120.871  0.496573
0.507838   120.687  0.298634
0.506192   120.724  0.342637
0.505167   120.653  0.238977
0.504155   120.736  0.225722
0.503198   120.691  0.462948
0.502588   120.701  0.148973
0.502315   120.7  0.145482
0.502553   120.676  0.361122
0.502379   120.646  1.31135
0.501984   120.703  0.244021
0.501659   120.701  0.190011
0.501515   120.697  0.162675
0.501563   120.688  0.184411
0.501408   120.664  0.249764
0.502138   120.651  0.976267
0.501784   120.713  0.185547
0.501364   120.7  0.2254
0.501055   120.681  0.209649
0.500733   120.68  0.364537
0.500802   120.692  0.158505
0.500869   120.697  0.236335
0.500916   120.678  0.135686
0.49977   120.633  1.82728
0.499917   120.676  0.219816
0.500126   120.695  0.203881
0.499968   120.611  1.91745
0.500331   120.695  0.242105
0.500639   120.684  0.268822
0.500843   120.683  0.296076
0.500669   120.683  0.232604
0.500845   120.686  0.182757
0.500902   120.684  0.179574
0.500946   120.684  0.151735
